User ID,From Station,To Station,Vehicle ID,Unlock Time,Lock Time,Total Time,Battery Used,Distance
12,35,12,215,0,0.0,3.498571136907181,87.46427842267951,17.4928556845359
15,12,6,77,0,0.0,0.6000000000000014,15.0,3.0
13,25,3,155,0,0.0,2.6832815729997463,67.0820393249937,13.416407864998739
14,4,6,28,0,0.0,2.4738633753705948,61.846584384264915,12.36931687685298
19,5,11,35,0,0.0,0.6000000000000014,15.0,3.0
16,4,30,27,0,0.0,3.84187454245971,96.04686356149273,19.209372712298546
18,19,34,119,0,0.0,2.1633307652783955,54.083269131959845,10.816653826391969
21,19,18,118,0,0.0,0.6000000000000014,15.0,3.0
22,20,17,125,0,0.0,1.8973665961010262,47.4341649025257,9.486832980505138
23,0,19,5,0,0.0,1.8973665961010262,47.4341649025257,9.486832980505138
25,31,33,191,0,0.0,1.1999999999999993,30.0,6.0
28,15,4,95,0,0.0,1.3416407864998732,33.54101966249685,6.708203932499369
30,29,34,177,0,0.0,0.8485281374238554,21.213203435596427,4.242640687119285
29,25,23,154,0,0.0,2.4738633753705983,61.846584384264915,12.36931687685298
31,24,8,149,0,0.0,2.1633307652783955,54.083269131959845,10.816653826391969
17,16,0,89,14.200000000000003,0.0,16.88328157299975,67.0820393249937,13.416407864998739
32,5,20,34,0,0.0,2.545584412271573,63.63961030678929,12.727922061357855
37,24,19,148,0,0.0,0.8485281374238554,21.213203435596427,4.242640687119285
38,25,14,153,0,0.0,1.3416407864998732,33.54101966249685,6.708203932499369
27,26,35,178,14.299999999999997,0.0,16.197366596101027,47.4341649025257,9.486832980505138
45,33,32,191,2.200000000000003,0.0,2.8000000000000043,15.0,3.0
47,25,21,152,0,0.0,1.3416407864998732,33.54101966249685,6.708203932499369
26,34,8,177,19.69777054234136,0.0,22.381052115341106,67.0820393249937,13.416407864998739
50,15,14,94,0,0.0,0.6000000000000014,15.0,3.0
39,9,0,197,12.76647244435604,0.0,14.66383904045707,47.4341649025257,9.486832980505138
52,2,25,17,0,0.0,2.4738633753705983,61.846584384264915,12.36931687685298
40,4,6,95,12.820354550247671,0.0,15.29421792561827,61.846584384264915,12.36931687685298
49,16,29,101,8.556058934713256,0.0,9.89769972121313,33.54101966249685,6.708203932499369
58,2,13,16,0,0.0,1.3416407864998732,33.54101966249685,6.708203932499369
